id,foi,R0,country
1,0.0128,1,6
2,0.0128,1,6
3,0.0128,1,6
4,0.0128,1,6
5,0.0128,1,6
6,0.0128,1,6
7,0.0128,1,6
8,0.0128,1,6
9,0.0128,1,6
10,0.0128,1,6
11,0.0128,1,6
12,0.0128,1,6
13,0.0128,1,6
14,0.0128,1,6
15,0.0128,1,6
16,0.0128,1,6
17,0.0128,1,6
18,0.0128,1,6
19,0.0128,1,6
20,0.0128,1,6
21,0.0128,1,6
22,0.0128,1,6
23,0.0128,1,6
24,0.0128,1,6
25,0.0128,1,6
26,0.0128,1,6
27,0.0128,1,6
28,0.0128,1,6
29,0.0128,1,6
30,0.0128,1,6
31,0.0128,1,6
32,0.0128,1,6
33,0.0128,1,6
34,0.0128,1,6
35,0.0128,1,6
36,0.0128,1,6
37,0.0128,1,6
38,0.0128,1,6
39,0.0128,1,6
40,0.0128,1,6
41,0.0128,1,6
42,0.0128,1,6
43,0.0128,1,6
44,0.0128,1,6
45,0.0128,1,6
46,0.0128,1,6
47,0.0128,1,6
48,0.0128,1,6
49,0.0128,1,6
50,0.0128,1,6
51,0.0128,1,6
52,0.0128,1,6
53,0.0128,1,6
54,0.0128,1,6
55,0.0128,1,6
56,0.0128,1,6
57,0.0128,1,6
58,0.0128,1,6
59,0.0128,1,6
60,0.0128,1,6
61,0.0128,1,6
62,0.0128,1,6
63,0.0128,1,6
64,0.0128,1,6
65,0.0128,1,6
66,0.0128,1,6
67,0.0128,1,6
68,0.0128,1,6
69,0.0128,1,6
70,0.0128,1,6
71,0.0128,1,6
72,0.0128,1,6
73,0.0128,1,6
74,0.0128,1,6
75,0.0128,1,6
76,0.0128,1,6
77,0.0128,1,6
78,0.0128,1,6
79,0.0128,1,6
80,0.0128,1,6
81,0.0128,1,6
82,0.0128,1,6
83,0.0128,1,6
84,0.0128,1,6
85,0.0128,1,6
86,0.0128,1,6
87,0.0128,1,6
88,0.0128,1,6
89,0.0128,1,6
90,0.0128,1,6
91,0.0128,1,6
92,0.0128,1,6
93,0.0128,1,6
94,0.0128,1,6
95,0.0128,1,6
96,0.0128,1,6
97,0.0128,1,6
98,0.0128,1,6
99,0.0128,1,6
100,0.0128,1,6
101,0.0128,1,6
102,0.0128,1,6
103,0.0128,1,6
104,0.0128,1,6
105,0.0128,1,6
106,0.0128,1,6
107,0.0128,1,6
108,0.0128,1,6
109,0.0128,1,6
110,0.0128,1,6
111,0.0128,1,6
112,0.0128,1,6
113,0.0128,1,6
114,0.0128,1,6
115,0.0128,1,6
116,0.0128,1,6
117,0.0128,1,6
118,0.0128,1,6
119,0.0128,1,6
120,0.0128,1,6
121,0.0128,1,6
122,0.0128,1,6
123,0.0128,1,6
124,0.0128,1,6
125,0.0128,1,6
126,0.0128,1,6
127,0.0128,1,6
128,0.0128,1,6
129,0.0128,1,6
130,0.0128,1,6
131,0.0128,1,6
132,0.0128,1,6
133,0.0128,1,6
134,0.0128,1,6
135,0.0128,1,6
136,0.0128,1,6
137,0.0128,1,6
138,0.0128,1,6
139,0.0128,1,6
140,0.0128,1,6
141,0.0128,1,6
142,0.0128,1,6
143,0.0128,1,6
144,0.0128,1,6
145,0.0128,1,6
146,0.0128,1,6
147,0.0128,1,6
148,0.0128,1,6
149,0.0128,1,6
150,0.0128,1,6
151,0.0128,1,6
152,0.0128,1,6
153,0.0128,1,6
154,0.0128,1,6
155,0.0128,1,6
156,0.0128,1,6
157,0.0128,1,6
158,0.0128,1,6
159,0.0128,1,6
160,0.0128,1,6
161,0.0128,1,6
162,0.0128,1,6
163,0.0128,1,6
164,0.0128,1,6
165,0.0128,1,6
166,0.0128,1,6
167,0.0128,1,6
168,0.0128,1,6
169,0.0128,1,6
170,0.0128,1,6
171,0.0128,1,6
172,0.0128,1,6
173,0.0128,1,6
174,0.0128,1,6
175,0.0128,1,6
176,0.0128,1,6
177,0.0128,1,6
178,0.0128,1,6
179,0.0128,1,6
180,0.0128,1,6
181,0.0128,1,6
182,0.0128,1,6
183,0.0128,1,6
184,0.0128,1,6
185,0.0128,1,6
186,0.0128,1,6
187,0.0128,1,6
188,0.0128,1,6
189,0.0128,1,6
190,0.0128,1,6
191,0.0128,1,6
192,0.0128,1,6
193,0.0128,1,6
194,0.0128,1,6
195,0.0128,1,6
196,0.0128,1,6
197,0.0128,1,6
198,0.0128,1,6
199,0.0128,1,6
200,0.0128,1,6
201,0.0128,1,6
202,0.0128,1,6
203,0.0128,1,6
204,0.0128,1,6
205,0.0128,1,6
206,0.0128,1,6
207,0.0128,1,6
208,0.0128,1,6
209,0.0128,1,6
210,0.0128,1,6
211,0.0128,1,6
212,0.0128,1,6
213,0.0128,1,6
214,0.0128,1,6
215,0.0128,1,6
216,0.0128,1,6
217,0.0128,1,6
218,0.0128,1,6
219,0.0128,1,6
220,0.0128,1,6
221,0.0128,1,6
222,0.0128,1,6
223,0.0128,1,6
224,0.0128,1,6
225,0.0128,1,6
226,0.0128,1,6
227,0.0128,1,6
228,0.0128,1,6
229,0.0128,1,6
230,0.0128,1,6
231,0.0128,1,6
232,0.0128,1,6
233,0.0128,1,6
234,0.0128,1,6
235,0.0128,1,6
236,0.0128,1,6
237,0.0128,1,6
238,0.0128,1,6
239,0.0128,1,6
240,0.0128,1,6
241,0.0128,1,6
242,0.0128,1,6
243,0.0128,1,6
244,0.0128,1,6
245,0.0128,1,6
246,0.0128,1,6
247,0.0128,1,6
248,0.0128,1,6
249,0.0128,1,6
250,0.0128,1,6
251,0.0128,1,6
252,0.0128,1,6
253,0.0128,1,6
254,0.0128,1,6
255,0.0128,1,6
256,0.0128,1,6
257,0.0128,1,6
258,0.0128,1,6
259,0.0128,1,6
260,0.0128,1,6
261,0.0128,1,6
262,0.0128,1,6
263,0.0128,1,6
264,0.0128,1,6
265,0.0128,1,6
266,0.0128,1,6
267,0.0128,1,6
